# Jars Ready for Problems Report-4 April 2022 (received April 6)

Arthropoda | Insecta | - | Hemiptera | - | - | - | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Pyrrhocoridae | - | Dysdercus bimaculatus
Arthropoda | Insecta | - | Hemiptera | - | - | Pyrrhocoridae | - | Dysdercus obscuratus

Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | Emesinae | --
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | Reduviinae | --
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | Harpactoninae | --
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Emesaya brevipennis
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Fitchia spinosula
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Leogorrus sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Opisthaclidius mexicanus
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Repipta sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Zelurus sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Zelus sp.

Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Triatoma sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Triatoma dimidiata dimidiata
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Triatoma indictiva
Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Triatoma sanguisuga

Arthropoda | Insecta | - | Hemiptera | - | - | Reduviidae | - | Triatoma gerstaeckeri

Arthropoda | Insecta | - | Hemiptera | - | - | Rhopalidae |   | Jadera sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Rhyparochromidae |   | --
Arthropoda | Insecta | - | Hemiptera | - | - | Rhyparochromidae | - | Ozophora sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Rhyparochromidae | - | Ozophora sp. nr. depicturata
Arthropoda | Insecta | - | Hemiptera | - | - | Thyreocoridae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Veliidae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Veliidae | - | Microvelia sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Veliidae | - | Microvelia beameri
Arthropoda | Insecta | - | Hemiptera | - | - | Veliidae | - | Rhagovelia sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Veliidae | - | Rhagovelia varipes

Arthropoda | Insecta | - | Homoptera | - | - | - | - | --
Arthropoda | Insecta | - | Homoptera | Auchenorryncha| - | - | - | --
Arthropoda | Insecta | - | Homoptera | - | - | Acanolonidae| - | Acanolona sp.
Arthropoda | Insecta | - | Homoptera | - | - | Aleyrodidae| - | --
Arthropoda | Insecta | - | Homoptera | - | - | Aphididae| - | --
Arthropoda | Insecta | - | Homoptera | - | - | Aphididae| - | Rhapalosiphonius lalatysiphon
Arthropoda | Insecta | - | Homoptera | - | - | Cixiidae| - | Cixius sp.
Arthropoda | Insecta | - | Homoptera | - | - | Cixiidae| - | Molanoliarus sp.
Arthropoda | Insecta | - | Homoptera | - | - | Delphacidae| - | --
Arthropoda | Insecta | - | Homoptera | - | - | Delphacidae| - | Liburniella ornata
Arthropoda | Insecta | - | Homoptera | - | - | Tropiduchidae| - | Mixodema reticulata

- (61918),(13310),(28669),(52514),(56529)
